Benchmark DDEC Search Fail
wcpcpy-opt 8 0 2
wcpcpy-trans 4 2 4
wcslen-opt 7 3 0
wcslen-trans 10 0 0
wmemset-opt 4 2 4
wmemset-trans 8 1 1
wcsnlen-opt 10 0 0
wcsnlen-trans 9 1 0
wmemcmp-opt 0 10 0
wmemcmp-trans 10 0 0
wcschr-opt 10 0 0
wcschr-trans 10 0 0
strxfrm-opt 9 1 0
strxfrm-trans 10 0 0
wcscmp-opt 8 1 1
wcscmp-trans 10 0 0
wmemchr-opt 10 0 0
wmemchr-trans 10 0 0
wcscpy-opt 8 0 2
wcscpy-trans 10 0 0
wcscat-opt 0 1 9
wcscat-trans 0 9 1
strcpy-opt 8 0 2
strcpy-trans 0 0 10
wcsrchr-opt 0 9 1
wcsrchr-trans 0 10 0
