num,cost,restart_count,bv_time
1,97,0,963
2,92,0,978
3,85,0,977
4,84,0,974
5,83,0,972
6,65,0,1572
7,61,0,1571
8,60,0,1569
9,199,1,1253
10,185,1,970
11,183,1,968
12,177,1,980
13,163,1,981
14,160,1,969
15,152,1,971
16,137,1,1197
17,131,1,1200
18,116,1,1192
19,114,1,1208
20,112,1,1210
21,111,1,1208
22,110,1,1206
23,109,1,1193
24,162,2,1024
25,144,2,1018
26,141,2,1019
27,140,2,1030
28,135,2,1028
29,121,2,1027
30,116,2,1021
31,218,3,956
32,207,3,1492
33,196,3,1504
34,179,3,1510
35,178,3,1245
36,177,3,966
37,176,3,965
38,174,3,969
39,167,3,969
40,166,3,968
41,164,3,971
42,163,3,970
43,154,3,1521
44,145,3,1520
45,144,3,1521
46,341,4,980
47,321,4,986
48,319,4,979
49,300,4,981
50,298,4,981
51,277,4,969
52,268,4,968
53,266,4,987
54,258,4,975
55,256,4,984
56,238,4,983
57,237,4,994
58,331,5,1003
59,320,5,1006
60,313,5,999
61,312,5,999
62,310,5,998
63,291,5,1002
64,289,5,1002
65,280,5,1011
66,270,5,1008
67,261,5,1007
68,260,5,1005
69,258,5,1009
70,238,5,1008
71,233,5,1018
72,232,5,1015
73,231,5,1019
74,230,5,1014
75,227,5,1395
76,218,5,1542
77,202,5,1385
78,201,5,1009
79,200,5,1561
80,199,5,1587
81,198,5,1602
82,331,6,1007
83,251,6,1011
84,238,6,1006
85,237,6,1003
86,236,6,1005
87,235,6,1003
88,233,6,1219
89,229,6,1223
90,227,6,1217
91,226,6,1220
92,225,6,1230
93,215,6,1233
94,202,6,1236
95,201,6,1236
96,200,6,1234
97,199,6,1241
98,197,6,1238
99,190,6,1242
100,188,6,1246
101,260,7,1042
102,242,7,1039
103,393,8,1056
104,383,8,1053
105,382,8,1065
106,332,8,1066
107,319,8,1070
108,295,8,1061
109,282,8,1051
110,274,8,1071
111,378,9,1092
112,355,9,1085
113,345,9,1088
114,321,9,1091
115,320,9,1080
116,310,9,1069
117,308,9,1348
118,299,9,1368
119,233,9,1081
120,229,9,1085
121,228,9,1073
122,227,9,1054
123,226,9,1055
124,224,9,1068
125,205,9,1067
126,204,9,1071
