num,cost,restart_count,bv_time
1,97,0,1542
2,78,0,1559
3,77,0,1009
4,76,0,999
5,75,0,999
6,74,0,994
7,70,0,986
8,69,0,1010
9,68,0,990
10,67,0,1007
11,67,1,987
12,54,1,985
13,53,1,982
14,52,1,985
15,152,2,997
16,152,3,989
17,152,4,1015
18,80,4,1003
19,79,4,1004
20,78,4,1040
21,147,5,1017
22,79,5,1010
23,78,5,1007
24,77,5,998
25,76,5,1010
26,143,6,1012
27,143,7,1021
28,76,7,1020
29,75,7,1018
30,74,7,1622
31,73,7,1025
32,138,8,1025
33,138,9,1556
34,77,9,1043
35,76,9,1032
36,75,9,1041
37,72,9,1041
38,71,9,1044
