num,cost,restart_count,bv_time
1,219,0,2394846
2,337,1,2881988
3,336,1,2768096
4,254,1,2582785
5,327,2,2427025
6,244,2,2198843
7,372,3,1764580
8,354,4,1765554
9,337,5,1782130
10,336,5,1803509
11,335,5,1811641
12,396,6,1789858
13,216,6,1737865
14,198,6,1730048
15,197,6,1730287
16,196,6,1740343
17,195,6,1741476
18,382,7,1746317
19,286,7,1754265
20,285,7,1758081
21,284,7,1765771
22,266,7,1769173
23,265,7,1785795
24,288,8,1728780
25,287,8,1747237
26,286,8,1750765
27,285,8,1761589
28,266,8,1771672
29,265,8,1780404
30,264,8,1789693
31,263,8,1799889
32,262,8,1807993
33,249,8,1817042
34,248,8,1823506
35,247,8,1834784
36,188,8,1836888
37,187,8,1844724
38,186,8,1851988
39,185,8,1854525
40,173,8,1860112
41,172,8,1863875
42,171,8,2086897
