num,cost,restart_count,bv_time
1,257,0,45
2,255,0,43
3,213,0,44
4,212,0,51
5,107,0,48
6,379,1,46
7,343,1,45
8,342,1,45
9,299,1,45
10,298,1,45
11,250,1,56
12,248,1,57
13,474,2,49
14,369,2,46
15,317,2,50
16,264,2,45
17,316,3,49
18,264,3,55
19,474,4,49
20,427,4,46
21,426,4,45
22,425,4,45
23,422,4,46
24,369,4,45
25,320,4,46
26,319,4,46
27,317,4,46
28,264,4,46
29,474,5,50
30,426,5,47
31,425,5,46
32,424,5,47
33,422,5,47
34,421,5,46
35,369,5,47
36,317,5,47
37,264,5,47
38,474,6,51
39,426,6,46
40,425,6,46
41,422,6,45
42,369,6,46
43,319,6,46
44,318,6,46
45,316,6,54
46,266,6,55
47,334,7,53
48,278,7,48
49,218,7,48
50,466,8,51
51,328,8,56
52,276,8,56
53,275,8,56
54,273,8,48
55,437,9,50
56,328,9,47
57,274,9,55
58,273,9,55
