num,cost,restart_count,bv_time
1,307,0,730
2,259,0,832
3,258,0,874
4,229,0,868
5,228,0,863
6,227,0,874
7,198,0,869
8,196,0,864
9,387,1,796
10,355,1,778
11,325,1,780
12,323,1,789
13,291,1,784
14,259,1,764
15,258,1,764
16,289,3,791
17,257,3,827
18,337,4,808
19,281,4,803
20,253,4,841
21,247,5,804
22,220,5,905
23,219,5,907
24,193,5,927
25,168,5,918
26,167,5,917
27,329,6,806
28,305,6,800
29,304,6,810
30,302,6,847
31,274,6,833
32,247,6,852
33,220,6,947
34,219,6,943
35,195,6,943
36,194,6,937
37,167,6,940
38,329,7,805
39,304,7,795
40,302,7,997
41,274,7,1014
42,247,7,1242
43,220,7,1394
44,300,8,754
45,278,8,756
46,277,8,757
47,275,8,927
48,250,8,919
49,228,8,922
50,204,8,923
51,200,8,919
52,178,8,923
53,177,8,921
54,154,8,924
55,300,9,761
56,280,9,757
57,278,9,755
58,277,9,755
59,275,9,754
60,230,9,752
61,229,9,755
62,228,9,754
63,225,9,788
64,200,9,869
65,177,9,869
66,176,9,866
