num,cost,restart_count,bv_time
1,409,0,731
2,275,0,757
3,273,0,744
4,242,0,741
5,241,0,760
6,240,0,760
7,409,1,788
8,273,1,781
9,320,2,791
10,213,2,784
11,294,3,1267
12,197,3,1046
13,196,3,784
14,176,3,783
15,175,3,784
16,174,3,783
17,151,3,785
18,150,3,784
19,294,4,779
20,196,4,782
21,174,4,786
22,173,4,787
23,151,4,785
24,150,4,782
25,294,5,785
26,198,5,783
27,196,5,983
28,174,5,984
29,173,5,982
30,294,6,804
31,198,6,799
32,196,6,1002
33,176,6,1002
34,175,6,1000
35,174,6,1001
36,173,6,998
37,152,6,992
38,151,6,989
39,150,6,992
40,294,7,807
41,198,7,799
42,196,7,802
43,174,7,802
44,173,7,798
45,294,8,808
46,198,8,792
47,196,8,800
48,174,8,804
49,173,8,803
50,150,8,810
51,294,9,813
52,198,9,805
53,196,9,805
54,173,9,804
55,150,9,802
