num,cost,restart_count,bv_time
1,324,0,1411
2,236,1,1457
3,207,1,1466
4,206,1,1458
5,204,1,1464
6,203,1,1454
7,225,2,1462
8,173,2,1391
9,241,3,1408
10,212,3,1404
11,211,3,1402
12,210,3,1402
13,209,3,1425
14,208,3,1401
15,207,3,1409
16,177,3,1407
17,176,3,1426
18,175,3,1451
19,173,3,1127
20,241,4,2248
21,158,4,1395
22,221,5,2281
23,159,5,1209
24,221,6,1508
25,216,7,1521
26,154,7,1481
27,216,8,1519
28,190,8,2296
29,189,8,2374
30,188,8,2369
31,187,8,2367
32,156,8,1899
33,155,8,1873
34,154,8,2331
35,153,8,1998
36,216,9,1609
37,215,9,1287
38,188,9,1302
39,187,9,1292
40,186,9,1293
41,185,9,1302
42,157,9,1856
43,154,9,1563
44,153,9,1549
