num,cost,restart_count,bv_time
1,42,0,1233
2,41,0,1259
3,29,0,1260
4,28,0,1235
5,27,0,1243
6,69,1,1218
7,64,1,1215
8,60,1,1215
9,59,1,1218
10,58,1,1220
11,53,1,1217
12,48,1,1241
13,44,1,1232
14,43,1,1230
15,42,1,1224
16,41,1,1250
17,127,2,1234
18,153,3,1268
19,140,3,1272
20,129,3,1266
21,128,3,1254
22,127,3,1262
23,126,3,1277
24,125,3,1272
25,111,3,1285
26,109,3,1287
27,95,3,1260
28,81,3,1253
29,80,3,857
30,79,3,872
31,78,3,834
32,153,4,1263
33,124,4,1272
34,109,4,1270
35,99,4,1288
36,98,4,1301
37,96,4,1478
38,85,4,1486
39,83,4,1332
40,82,4,1326
41,178,5,1306
42,150,5,1276
43,149,5,1275
44,148,5,1278
45,116,5,1276
46,115,5,1279
47,114,5,1278
48,113,5,1281
49,112,5,1298
50,110,5,1285
51,94,5,1287
52,93,5,1285
53,92,5,1358
54,91,5,961
55,193,6,1305
56,180,6,1304
57,179,6,1312
58,178,6,1287
59,160,6,1336
60,142,6,1401
61,141,6,1329
62,140,6,1333
63,123,6,1300
64,121,6,1306
65,120,6,1405
66,119,6,1347
67,102,6,1455
68,101,6,937
69,100,6,934
70,193,7,1255
71,178,7,1258
72,177,7,1275
73,176,7,1264
74,175,7,1602
75,155,7,2006
76,136,7,1815
77,120,7,2045
78,93,7,1378
79,174,8,1243
80,161,8,1253
81,158,8,1246
82,157,8,1248
83,144,8,1232
84,143,8,1251
85,124,8,1261
86,107,8,1252
87,93,8,1292
88,92,8,1295
89,91,8,1269
90,174,9,1265
91,159,9,1262
92,158,9,1265
93,143,9,1267
94,142,9,1266
95,127,9,1272
96,125,9,1254
97,114,9,1254
98,113,9,1254
99,99,9,1363
100,85,9,1400
101,84,9,1387
102,83,9,1399
