num,cost,restart_count,bv_time
1,9,0,15563
2,421,2,15682
3,394,3,16356
4,303,3,16376
5,298,4,10241
6,292,4,10001
7,383,5,9469
8,303,5,9780
9,295,5,9844
10,294,5,9810
11,292,5,9435
12,291,5,9320
13,220,6,17752
14,290,7,17115
15,288,7,17185
16,226,7,17366
17,203,7,10877
18,294,8,15814
19,228,8,15681
20,226,8,15884
21,221,8,15763
22,219,8,16581
23,218,8,19081
24,215,8,19857
25,213,8,9661
26,212,8,9112
27,313,9,16119
28,312,9,16075
29,311,9,18203
30,310,9,9776
31,309,9,9650
32,245,9,9119
33,244,9,8692
34,243,9,8757
35,240,9,9336
36,238,9,9133
37,231,9,8408
