num,cost,restart_count,bv_time
1,32,0,1655
2,28,0,1043
3,27,0,1424
4,26,0,1632
5,21,0,1621
6,20,0,1053
7,17,0,1525
8,16,0,1281
9,13,0,1492
10,12,0,1505
11,27,1,1040
12,24,1,1048
13,23,1,1049
14,20,1,1059
15,16,1,1032
16,146,2,1028
17,145,2,1029
18,125,2,1028
19,352,3,1686
20,310,3,1696
21,308,3,1677
22,270,3,1656
23,265,3,1711
24,163,3,1680
25,162,3,1090
26,121,3,1098
27,120,3,1095
28,119,3,1082
29,417,4,1066
30,358,4,932
31,299,4,1069
32,423,5,1073
33,376,5,1067
34,375,5,1068
35,374,5,1069
36,373,5,1080
37,371,5,1085
38,313,5,1071
39,312,5,1072
40,310,5,952
41,309,5,951
42,250,5,1061
43,249,5,1053
44,248,5,1052
45,560,6,1121
46,424,6,1115
47,421,6,1078
48,352,6,1217
49,282,6,1103
50,281,6,1103
51,251,6,1091
52,250,6,1094
53,249,6,1094
54,228,6,1681
55,606,7,1091
56,535,7,1090
57,534,7,1088
58,533,7,1086
59,457,7,1093
60,455,7,1091
61,384,7,1116
62,383,7,1095
63,382,7,1093
64,380,7,1101
65,305,7,913
66,304,7,1105
67,606,8,1183
68,536,8,1121
69,535,8,1128
70,534,8,1141
71,533,8,1138
72,531,8,1135
73,455,8,1346
74,380,8,1772
75,276,8,1148
76,551,9,1174
77,488,9,1191
78,487,9,1189
79,485,9,1177
80,484,9,1177
81,482,9,1176
82,414,9,1182
83,345,9,961
84,277,9,1171
85,276,9,1194
