num,cost,restart_count,bv_time
1,208,0,340509
2,192,0,291195
3,190,0,327834
4,174,0,338370
5,378,1,302651
6,349,1,295009
7,344,1,347493
8,311,1,325658
9,277,1,332061
10,276,1,316006
11,247,1,291925
12,246,1,291463
13,245,1,336783
14,481,2,397893
15,438,2,393584
16,398,2,309723
17,397,2,293983
18,320,2,297294
19,319,2,311747
20,503,3,302644
21,458,3,327486
22,414,3,295688
23,369,3,327363
24,367,3,308517
25,325,3,341838
26,324,3,293732
27,323,3,328161
28,485,4,334295
29,442,4,302294
30,401,4,321034
31,399,4,302216
32,398,4,299741
33,354,4,290103
34,312,4,294066
35,310,4,284064
36,485,5,314130
37,442,5,315524
38,400,5,284404
39,398,5,259593
40,359,5,255411
41,358,5,254930
42,357,5,249164
43,356,5,247843
44,314,5,250291
45,312,5,248257
46,501,6,248181
47,456,6,249601
48,412,6,247674
49,411,6,246942
50,368,6,247815
51,366,6,252220
52,323,6,247515
53,321,6,246359
54,501,7,246976
55,459,7,248740
56,458,7,246944
57,456,7,247809
58,411,7,248097
59,372,7,247752
60,371,7,246189
61,369,7,245814
62,368,7,242959
63,367,7,240494
64,325,7,239047
65,324,7,238802
66,323,7,245646
67,322,7,239298
68,456,8,237796
69,412,8,241331
70,368,8,239872
71,324,8,239615
72,323,8,242964
73,322,8,244305
74,321,8,239128
75,279,8,239263
76,278,8,237109
77,277,8,245919
78,276,8,245666
79,274,8,313264
80,501,9,252048
81,456,9,254351
82,412,9,254333
83,369,9,259195
84,368,9,251695
85,367,9,249450
86,366,9,235751
87,323,9,235835
88,322,9,236624
89,321,9,236510
90,319,9,236696
91,318,9,236602
92,317,9,236683
93,316,9,236500
94,315,9,236733
