num,cost,restart_count,bv_time
1,333,0,659
2,188,0,669
3,187,0,671
4,186,0,673
5,185,0,679
6,183,0,681
7,160,0,2785
8,153,0,2840
9,152,0,2792
10,354,1,707
11,209,1,721
12,208,1,699
13,207,1,693
14,206,1,692
15,345,2,694
16,224,2,695
17,223,2,692
18,200,2,693
19,198,2,692
20,197,2,693
21,337,3,681
22,192,3,671
23,191,3,686
24,190,3,673
25,189,3,681
26,187,3,686
27,130,3,2833
28,323,4,692
29,178,4,695
30,177,4,695
31,176,4,698
32,175,4,697
33,173,4,696
34,317,5,677
35,172,5,687
36,171,5,683
37,170,5,682
38,169,5,692
39,167,5,686
40,317,6,693
41,172,6,689
42,171,6,698
43,169,6,697
44,167,6,687
45,317,7,706
46,172,7,717
47,171,7,715
48,170,7,709
49,169,7,713
50,167,7,712
51,317,8,725
52,193,8,720
53,192,8,720
54,191,8,720
55,189,8,719
56,188,8,719
57,301,9,703
58,156,9,699
59,155,9,694
60,154,9,688
61,153,9,699
62,151,9,702
63,134,9,709
64,133,9,697
65,117,9,705
66,116,9,696
67,115,9,701
68,301,10,696
69,156,10,692
70,155,10,703
71,154,10,693
72,153,10,696
73,151,10,694
74,301,11,700
75,154,11,699
76,153,11,709
77,151,11,702
78,292,12,707
79,147,12,703
80,146,12,704
81,145,12,698
82,144,12,697
83,142,12,693
84,292,13,710
85,147,13,710
86,146,13,706
87,145,13,706
88,144,13,706
89,142,13,715
90,129,13,704
91,128,13,702
92,127,13,703
93,126,13,700
94,110,13,702
95,109,13,708
96,108,13,703
97,292,14,705
98,164,14,707
99,163,14,712
100,162,14,708
101,161,14,706
102,159,14,699
103,276,15,704
104,131,15,702
105,130,15,700
106,129,15,693
107,128,15,702
108,126,15,709
109,264,16,701
110,119,16,707
111,118,16,708
112,117,16,706
113,116,16,704
114,114,16,705
115,264,17,714
116,119,17,714
117,116,17,713
118,114,17,715
119,261,18,753
120,116,18,749
121,115,18,759
122,114,18,748
123,113,18,748
124,111,18,761
125,252,19,752
126,107,19,747
127,106,19,743
128,105,19,741
129,104,19,746
130,103,19,741
131,101,19,743
132,252,20,703
133,107,20,700
134,106,20,706
135,105,20,701
136,104,20,704
137,102,20,713
138,101,20,709
139,247,21,761
140,102,21,746
141,100,21,748
