benchmark total_search_min first_search_min attempted_preds tested_preds smt_time
s000-gcc 55.4 0.8 1696 39 350.94
s000-llvm 41.4 3.0 826 28 322.12
s1112-gcc 7.3 1.8 210 12 2699.94
s1112-llvm 33.3 1.9 398 29 229.91
s112-gcc 9.3 3.3 652 8 1301.44
s112-llvm 196.7 3.2 276 62 153.86
s121-gcc 32.8 9.3 1302 14 164.88
s121-llvm 22.0 5.8 932 14 388.55
s1221-gcc 34.4 0.6 1058 30 741.98
s1221-llvm 44.9 3.1 580 21 305.74
s122-gcc  14.5 1190 3 31272.74
s122-llvm 140.7 4.2 636 26 186.29
s1251-gcc 56.4 0.7 1696 39 1468.59
s1251-llvm 52.1 4.3 880 23 1596.06
s127-gcc 12.6 4.5 1308 10 3613.77
s127-llvm 25.7 1.4 182 24 1025.08
s1281-gcc 47.9 0.7 1696 39 13350.22
s1281-llvm 40.5 4.3 880 23 61327.49
s1351-gcc 60.5 2.0 1696 50 333.43
s1351-llvm 43.8 0.5 806 25 163.05
s162-gcc 30.1 9.2 1302 14 4688.88
s162-llvm 16.0 5.7 932 14 35889.2
s173-gcc 29.2 4.3 2812 11 317.45
s173-llvm   359 0 0.0
s2244-gcc 35.6 9.2 1302 13 742.54
s2244-llvm 34.1 6.0 1436 11 322.94
s243-gcc 81.4 2.8 514 24 3688.42
s243-llvm 26.2 5.2 1130 10 22720.62
s251-gcc 57.5 0.7 1698 40 35786.6
s251-llvm 32.7 0.6 826 28 33606.53
s3251-gcc 33.2 8.2 1330 25 6954.77
s3251-llvm 85.2 11.2 510 20 43641.6
s351-gcc  2.6 2481 5 160789.03
s351-llvm 9.3 0.6 466 39 69947.8
s452-gcc 51.6 1.4 1856 41 17668.73
s452-llvm 144.6 5.9 1442 27 8835.97
s453-gcc 92.5 1.0 3318 65 42697.37
s453-llvm 236.7 11.0 2172 39 10963.57
sum1d-gcc 56.2 5.6 1698 60 326.43
sum1d-llvm 34.9 5.4 826 18 377.29
vdotr-gcc 60.6 0.8 1696 46 159.21
vdotr-llvm 37.4 5.7 826 18 5068.93
vpvpv-gcc 52.3 0.7 1698 40 1283.44
vpvpv-llvm 39.1 4.5 826 28 1064.57
vpv-gcc 50.7 0.6 1698 40 503.94
vpv-llvm 35.5 4.5 826 28 422.05
vpvts-gcc 52.5 0.8 1698 40 22122.72
vpvts-llvm 34.1 4.8 812 20 19238.9
vpvtv-gcc 49.5 0.7 1698 40 16941.76
vpvtv-llvm 34.9 4.5 826 28 33246.36
vtv-gcc 65.6 0.6 1698 40 35474.73
vtv-llvm 35.6 4.5 826 28 3586.59
vtvtv-gcc 61.5 0.7 1698 40 30441.15
vtvtv-llvm 38.2 4.5 826 28 10951.59
